_id,channel,title,text,date
658018b5112383a507ac9074,WSJ.com: Markets,It's the Magnificent Seven's Market. The Other Stocks Are Just Living in It.,"Apple, Microsoft, Alphabet, Amazon, Nvidia, Tesla and Meta have collectively jumped 75% in 2023, leaving the other 493 companies in the S&amp;P 500 in their dust.","Sun, 17 Dec 2023 07:00:00 -0500"
658018b5112383a507ac9075,WSJ.com: Markets,"Buy Now, Pay Later Keeps People Spending---Without Credit Agencies Knowing",Consumers are flocking to installment loans for everything from holiday gifts and groceries to laser eye surgery.,"Sun, 17 Dec 2023 07:00:00 -0500"
658018b5112383a507ac9076,WSJ.com: Markets,How to Make the Most of Your FSA Money Before It Disappears,"Many workers take advantage of the tax-free flexible-spending account to help pay for medical expenses, but time is running out.","Sat, 16 Dec 2023 21:00:00 -0500"
658018b5112383a507ac9077,WSJ.com: Markets,Why It's Taking So Long for Americans to Get Payments Instantly,"Hundreds of banks use Fed’s new instant-payment service, but universal availability could remain years away.","Sat, 16 Dec 2023 10:00:00 -0500"
658018b5112383a507ac9078,WSJ.com: Markets,Robinhood Woos Wealthier Clients From Bigger Brokerages,"Known for a clientele of first-time investors, the trading app has received $1.1 billion in account transfers since it started offering a 1% match.","Sat, 16 Dec 2023 10:00:00 -0500"
658018b5112383a507ac9079,WSJ.com: Markets,Tesla's Self-Driving Tech Has Competition,"Gradually improving driver-assistance features is the right way to make cars autonomous, but the EV pioneer is far from alone.","Sat, 16 Dec 2023 10:00:00 -0500"
658018b5112383a507ac907a,WSJ.com: Markets,"The Score: Macy's, Hasbro, Pfizer and More Stocks That Defined the Week",Here are some of the major companies whose stocks moved on the week’s news.,"Fri, 15 Dec 2023 18:16:00 -0500"
658018b5112383a507ac907b,WSJ.com: Markets,Beware the Most Crowded Trade on Wall Street: Next Year's Soft Landing,Each of the past three years had a similarly strong consensus that proved entirely wrong.,"Fri, 15 Dec 2023 16:54:00 -0500"
658018b5112383a507ac907c,WSJ.com: Markets,Visa Agrees to Acquire Majority Interest in Payments Processor Prosa,"Visa entered into an agreement to acquire a majority interest in Prosa, a payments processor in Mexico.","Fri, 15 Dec 2023 16:36:00 -0500"
658018b6112383a507ac907d,WSJ.com: Markets,Dow Notches Another Record Close,The blue-chip index notched its third straight record and closed the week higher after the Federal Reserve opened the door to rate cuts.,"Fri, 15 Dec 2023 16:33:00 -0500"
